"Yes","MB",0.75,-0.316,-0.335,-0.307,1.,-0.316,-0.44666666666666666,-0.307,0.8781458185171971,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",0.158,0.616,0.26,0.23,0.21066666666666667,0.616,0.3466666666666667,0.23,0.12561900000000004,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",-0.363,-0.455,-0.304,0.043000000000000003,-0.484,-0.455,-0.4053333333333333,0.043000000000000003,0.1906443333333333,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.556,0.302,-0.164,0.002,0.7413333333333334,0.302,-0.21866666666666668,0.002,0.7484323357560698,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",-0.481,-0.834,-0.447,-0.5680000000000001,-0.6413333333333333,-0.834,-0.596,-0.5680000000000001,0.0546083333333333,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",-0.723,0.08700000000000001,-0.549,0.439,-0.964,0.08700000000000001,-0.732,0.439,0.1255420282787106,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.07100000000000001,-0.254,0.211,0.5760000000000001,0.09466666666666668,-0.254,0.2813333333333333,0.5760000000000001,0.4000296435257184,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",-0.709,0.375,-0.337,-0.178,-0.9453333333333332,0.375,-0.44933333333333336,-0.178,0.4111230055190472,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.024,0.455,0.164,-0.164,0.032,0.455,0.21866666666666668,-0.164,0.31350408333333335,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",0.40900000000000003,-0.595,-0.255,0.038,0.5453333333333333,-0.595,-0.33999999999999997,0.038,0.7687305509685238,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.121,-0.5690000000000001,-0.038,0.56,0.16133333333333333,-0.5690000000000001,-0.050666666666666665,0.56,0.6566993312772614,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.427,0.019,-0.41400000000000003,0.28,0.5693333333333332,0.019,-0.552,0.28,0.6713397611588751,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",-0.6920000000000001,0.38,-0.681,0.732,-0.9226666666666667,0.38,-0.908,0.732,0.04380943131314677,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",0.634,-0.627,0.145,-0.23,0.8453333333333333,-0.627,0.1933333333333333,-0.23,0.4363463830549808,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.49,-0.352,-0.629,-0.631,0.6533333333333333,-0.352,-0.8386666666666667,-0.631,0.669268705949335,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",0.714,0.132,0.197,0.255,0.952,0.132,0.26266666666666666,0.255,0.3677320833333334,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",-0.056,-0.964,0.11800000000000001,0.6970000000000001,-0.07466666666666666,-0.964,0.15733333333333333,0.6970000000000001,0.968554306802184,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",-0.406,0.8230000000000001,0.46900000000000003,-0.28500000000000003,-0.5413333333333333,0.8230000000000001,0.6253333333333333,-0.28500000000000003,0.8840226458483985,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",0.513,0.839,0.47200000000000003,-0.354,0.6839999999999999,0.839,0.6293333333333333,-0.354,0.6456270939935296,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.326,0.5650000000000001,0.39,-0.17500000000000002,0.43466666666666665,0.5650000000000001,0.52,-0.17500000000000002,0.40638269382136794,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.547,0.5680000000000001,0.192,-0.01,0.7293333333333334,0.5680000000000001,0.256,-0.01,0.41859633333333346,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.66,0.323,-0.739,0.483,0.88,0.323,-0.9853333333333333,0.483,0.8280406708437444,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.5750000000000001,0.581,-0.491,-0.362,0.7666666666666667,0.581,-0.6546666666666666,-0.362,0.9041824629073442,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",-0.483,-0.277,0.31,0.354,-0.6439999999999999,-0.277,0.41333333333333333,0.354,0.7593390615543115,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",-0.267,0.251,0.164,0.192,-0.356,0.251,0.21866666666666668,0.192,0.25029208333333336,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",-0.656,-0.061,0.546,0.8130000000000001,-0.8746666666666667,-0.061,0.728,0.8130000000000001,0.8262994419938341,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"Yes","MB",0.856,-0.057,0.035,0.379,1.1413333333333333,-0.057,0.04666666666666667,0.379,0.7831737962228936,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"No","MB",-0.07100000000000001,-0.221,0.392,0.919,-0.09466666666666668,-0.221,0.5226666666666666,0.919,0.5100097347074403,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"No","MB",-0.931,-0.002,0.233,-0.263,-1.2413333333333334,-0.002,0.31066666666666665,-0.263,0.980386953144485,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"No","MB",0.719,0.504,-0.6920000000000001,-0.5,0.9586666666666666,0.504,-0.9226666666666667,-0.5,0.954974009804674,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"No","MB",0.258,0.887,0.101,0.14,0.344,0.887,0.13466666666666666,0.14,0.45137208333333334,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"Yes","MB",-0.266,-0.031,-0.274,0.406,-0.3546666666666667,-0.031,-0.36533333333333334,0.406,0.14331208333333337,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"Yes","MB",0.5730000000000001,0.138,0.5650000000000001,-0.052000000000000005,0.764,0.138,0.7533333333333334,-0.052000000000000005,0.02716033333333333,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"Yes","MB",-0.081,0.621,-0.31,0.189,-0.108,0.621,-0.41333333333333333,0.189,0.20988933333333334,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"Yes","MB",-0.732,0.672,-0.098,0.579,-0.976,0.672,-0.13066666666666665,0.579,0.40906967396130167,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"No","MB",0.47300000000000003,-0.269,0.406,0.115,0.6306666666666667,-0.269,0.5413333333333333,0.115,0.11657733333333334,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"No","MB",0.066,0.186,-0.587,0.219,0.088,0.186,-0.7826666666666666,0.219,0.41248945084764016,2023,3,24,"S0107-TC-20230324-1220-Repaired"
"No","MB",-0.335,-0.062,-0.241,0.395,-0.44666666666666666,-0.062,-0.3213333333333333,0.395,0.16841808333333336,2023,3,24,"S0107-TC-20230324-1220-Repaired"
